ad_id,latitude,longitude,bairro,cidade
40941204,-27.14694,-48.58731,Jardim Dourado,Porto Belo
30153564,-27.14486,-48.58782,Meia Praia,Itapema
4679256,-27.14582,-48.58785,Perequê,Porto Belo
47269826,-27.14242,-48.58943,Meia Praia,Itapema
32230652,-27.15193,-48.58788,Alto Perequê,Porto Belo
41316537,-27.1544,-48.58829,Jardim Dourado,Porto Belo
41041896,-27.15594,-48.58697,Alto Perequê,Porto Belo
41642387,-27.15651,-48.58945,Jardim Dourado,Porto Belo
21924711,-27.15575,-48.58864,Jardim Dourado,Porto Belo
574406486621991253,-27.14531,-48.58281,Perequê,Porto Belo
765379069775147828,-27.1514448,-48.5883375,Jardim Dourado,Porto Belo
46116173,-27.14259,-48.58892,Meia Praia,Itapema
765325112696415612,-27.15091,-48.58764,Jardim Dourado,Porto Belo
15732070,-27.1441,-48.58674,Meia Praia,Itapema
40779429,-27.14479,-48.59028,Meia Praia,Itapema
51277440,-27.15315,-48.58764,Jardim Dourado,Porto Belo
37347085,-27.14398,-48.58961,Meia Praia,Itapema
609309455048331797,-27.15551,-48.58732,Jardim Dourado,Porto Belo
30085847,-27.14276,-48.58717,Meia Praia,Itapema
46223024,-27.15181,-48.58845,Jardim Dourado,Porto Belo
40306119,-27.14774,-48.58394,Perequê,Porto Belo
729744223605938249,-27.1433,-48.59558,Meia Praia,Itapema
43712530,-27.14199,-48.59035,Meia Praia,Itapema
762830650404143552,-27.14949,-48.58728,Perequê,Porto Belo
736368711602102162,-27.14721,-48.58949,Jardim Dourado,Porto Belo
29706440,-27.1558,-48.58858,Jardim Dourado,Porto Belo
15909831,-27.14446,-48.5869,Meia Praia,Itapema
29753451,-27.1558,-48.58858,Jardim Dourado,Porto Belo
729790631478660390,-27.1508892,-48.58880010000001,Alto Perequê,Porto Belo
719608035919549657,-27.153385543021407,-48.583918033868414,Perequê,Porto Belo
39589039,-27.14295,-48.59473,Meia Praia,Itapema
744922093220964412,-27.15107,-48.58633,Perequê,Porto Belo
53214482,-27.151445,-48.588337,Jardim Dourado,Porto Belo
47291982,-27.143,-48.58699,Meia Praia,Itapema
39300326,-27.14755,-48.58543,Perequê,Porto Belo
47274661,-27.14601,-48.58797,Perequê,Porto Belo
48101929,-27.15098,-48.5874,Jardim Dourado,Porto Belo
765405216157248747,-27.15092802009819,-48.58763493597508,Jardim Dourado,Porto Belo
53803935,-27.14353,-48.58944,Meia Praia,Itapema
31928936,-27.14427,-48.58861,Meia Praia,Itapema
755847660472987641,-27.144,-48.58872,Meia Praia,Itapema
45687710,-27.14283,-48.58739,Meia Praia,Itapema
725923160711616741,-27.14351215032244,-48.58838465767212,Meia Praia,Itapema
